Hash ID,Add Item,Category,Name,Quality,Description
Items.FormalPants_02_rich_03,"Game.AddToInventory(""Items.FormalPants_02_rich_03"",1)",Clothing - Legs,Golden Hive Polyamide Designer Pants,,
Items.FormalPants_03_basic_01,"Game.AddToInventory(""Items.FormalPants_03_basic_01"",1)",Clothing - Legs,Simple Office Pants,,
Items.FormalPants_03_old_01,"Game.AddToInventory(""Items.FormalPants_03_old_01"",1)",Clothing - Legs,Multilayer Custom-Print Pants,,
Items.FormalPants_03_old_02,"Game.AddToInventory(""Items.FormalPants_03_old_02"",1)",Clothing - Legs,Speed Addict Polyamide Pants,,
Items.FormalPants_03_rich_01,"Game.AddToInventory(""Items.FormalPants_03_rich_01"",1)",Clothing - Legs,Imperial Marble Aramidweave Formal Pants,,
Items.FormalPants_03_rich_02,"Game.AddToInventory(""Items.FormalPants_03_rich_02"",1)",Clothing - Legs,Uniware Brass Office Pants with Membrane Support,,
Items.FormalShirt,"Game.AddToInventory(""Items.FormalShirt"",1)",Unused,,,
Items.FormalShirt_01_basic_01,"Game.AddToInventory(""Items.FormalShirt_01_basic_01"",1)",Clothing - Inner Torso,Tear-Resistant Office Shirt and Vest,,
Items.FormalShirt_01_basic_02,"Game.AddToInventory(""Items.FormalShirt_01_basic_02"",1)",Clothing - Inner Torso,Reinforced Breathable Dress Shirt,,
Items.FormalShirt_01_basic_03,"Game.AddToInventory(""Items.FormalShirt_01_basic_03"",1)",Clothing - Inner Torso,Stylish Double-Weave Shirt & Vest,,
Items.FormalShirt_01_old_01,"Game.AddToInventory(""Items.FormalShirt_01_old_01"",1)",Clothing - Inner Torso,Cowboy Shirt & Vest,,
Items.FormalShirt_01_old_02,"Game.AddToInventory(""Items.FormalShirt_01_old_02"",1)",Clothing - Inner Torso,Classy Pastel Shirt & Vest,,
Items.FormalShirt_01_old_03,"Game.AddToInventory(""Items.FormalShirt_01_old_03"",1)",Clothing - Inner Torso,Penguin Dress Shirt & Vest,,
Items.FormalShirt_01_rich_01,"Game.AddToInventory(""Items.FormalShirt_01_rich_01"",1)",Clothing - Inner Torso,Dandy Classico Shirt with Fibrotube Weave,,
Items.FormalShirt_01_rich_02,"Game.AddToInventory(""Items.FormalShirt_01_rich_02"",1)",Clothing - Inner Torso,Abrasion-Resistant Trickster Dress Shirt & Vest,,
Items.FormalShirt_01_rich_03,"Game.AddToInventory(""Items.FormalShirt_01_rich_03"",1)",Clothing - Inner Torso,Mallow Breeze Triweave Shirt & Vest,,
Items.FormalShirt_01_rich_04,"Game.AddToInventory(""Items.FormalShirt_01_rich_04"",1)",Clothing - Inner Torso,El Dorado Aramid-Weave Dress Shirt & Vest,,
Items.FormalShirt_01_rich_05,"Game.AddToInventory(""Items.FormalShirt_01_rich_05"",1)",Clothing - Inner Torso,Gin No Neo-Silk Shirt & Vest,,
Items.FormalShirt_01_rich_06,"Game.AddToInventory(""Items.FormalShirt_01_rich_06"",1)",Clothing - Inner Torso,Paris Blue Office Shirt & Vest with Reinforced Seams,,
Items.FormalShirt_02_basic_01,"Game.AddToInventory(""Items.FormalShirt_02_basic_01"",1)",Clothing - Inner Torso,Semi-formal Synfiber Button-Up,,
Items.FormalShirt_02_basic_02,"Game.AddToInventory(""Items.FormalShirt_02_basic_02"",1)",Clothing - Inner Torso,Arcticombat Semi-Formal Button-Up,,
Items.FormalShirt_02_basic_03,"Game.AddToInventory(""Items.FormalShirt_02_basic_03"",1)",Clothing - Inner Torso,Red Leopard Button-Up with Composite Insert,,
Items.FormalShirt_02_basic_04,"Game.AddToInventory(""Items.FormalShirt_02_basic_04"",1)",Clothing - Inner Torso,Classic Chem-Hardened Button-Up,,
Items.FormalShirt_02_old_01,"Game.AddToInventory(""Items.FormalShirt_02_old_01"",1)",Clothing - Inner Torso,Linen Button-Up with Reactive Layering,,
Items.FormalShirt_02_old_02,"Game.AddToInventory(""Items.FormalShirt_02_old_02"",1)",Clothing - Inner Torso,Purple Panther Shirt,,
Items.FormalShirt_02_old_03,"Game.AddToInventory(""Items.FormalShirt_02_old_03"",1)",Clothing - Inner Torso,Wrinkled Dress Button-Up,,
Items.FormalShirt_02_rich_01,"Game.AddToInventory(""Items.FormalShirt_02_rich_01"",1)",Clothing - Inner Torso,Desert Cross Strong-Weave Button-Up,,
Items.FormalShirt_02_rich_02,"Game.AddToInventory(""Items.FormalShirt_02_rich_02"",1)",Clothing - Inner Torso,Paisley Universe Armor-Coated Button-Up,,
Items.FormalShirt_02_rich_03,"Game.AddToInventory(""Items.FormalShirt_02_rich_03"",1)",Clothing - Inner Torso,Liquid Shine Dura-Polyamide Button-Up,,
Items.FormalShoes,"Game.AddToInventory(""Items.FormalShoes"",1)",Unused,,,
Items.FormalShoes_01_basic_01,"Game.AddToInventory(""Items.FormalShoes_01_basic_01"",1)",Clothing - Feet,Simple Polycarbonate Office Pumps,,
Items.FormalShoes_01_basic_02,"Game.AddToInventory(""Items.FormalShoes_01_basic_02"",1)",Clothing - Feet,Comfy Formal Pumps with Metal Inserts,,
Items.FormalShoes_01_basic_03,"Game.AddToInventory(""Items.FormalShoes_01_basic_03"",1)",Clothing - Feet,Formal Pumps with Cushioned Composite Insoles,,
Items.FormalShoes_01_rich_01,"Game.AddToInventory(""Items.FormalShoes_01_rich_01"",1)",Clothing - Feet,Silbermond Tough-Lined Office Pumps,,
Items.FormalShoes_01_rich_02,"Game.AddToInventory(""Items.FormalShoes_01_rich_02"",1)",Clothing - Feet,Midday Glow Polycarbonate Formal Pumps,,
Items.FormalShoes_02_basic_01,"Game.AddToInventory(""Items.FormalShoes_02_basic_01"",1)",Clothing - Feet,Reinforced Leather Office Pumps,,
Items.FormalShoes_02_basic_02,"Game.AddToInventory(""Items.FormalShoes_02_basic_02"",1)",Clothing - Feet,Classic Evening Pumps with Polycarbonate Support,,
Items.FormalShoes_02_basic_03,"Game.AddToInventory(""Items.FormalShoes_02_basic_03"",1)",Clothing - Feet,Double-Varnished Formal Pumps,,
Items.FormalShoes_02_rich_01,"Game.AddToInventory(""Items.FormalShoes_02_rich_01"",1)",Clothing - Feet,Silver Blood Evening Pumps /w Protective Insoles,,
Items.FormalShoes_02_rich_02,"Game.AddToInventory(""Items.FormalShoes_02_rich_02"",1)",Clothing - Feet,Lézard Beige Leather-Composite Formal Pumps,,
Items.FormalShoes_02_rich_03,"Game.AddToInventory(""Items.FormalShoes_02_rich_03"",1)",Clothing - Feet,Crystal Lily Evening Pumps with Extra-Durable Soles,,
Items.FormalShoes_03_basic_01,"Game.AddToInventory(""Items.FormalShoes_03_basic_01"",1)",Clothing - Feet,Reinforced Office Wedges,,
Items.FormalShoes_03_basic_02,"Game.AddToInventory(""Items.FormalShoes_03_basic_02"",1)",Clothing - Feet,Wooden Breeze Dress Wedges,,
Items.FormalShoes_03_rich_01,"Game.AddToInventory(""Items.FormalShoes_03_rich_01"",1)",Clothing - Feet,Abendstern Polycarbonate Dress Wedges,,
Items.FormalShoes_03_rich_02,"Game.AddToInventory(""Items.FormalShoes_03_rich_02"",1)",Clothing - Feet,Creamy Rhubarb Dress Wedges with Sole Support,,
Items.FormalSkirt_01_basic_01,"Game.AddToInventory(""Items.FormalSkirt_01_basic_01"",1)",Clothing - Legs,Durable Plaid Skirt,,
Items.FormalSkirt_01_basic_02,"Game.AddToInventory(""Items.FormalSkirt_01_basic_02"",1)",Clothing - Legs,Classy Aramid Weave Skirt,,
Items.FormalSkirt_01_basic_03,"Game.AddToInventory(""Items.FormalSkirt_01_basic_03"",1)",Clothing - Legs,Powder Pink Skirt,,
Items.FormalSkirt_01_basic_04,"Game.AddToInventory(""Items.FormalSkirt_01_basic_04"",1)",Clothing - Legs,Ultra Elastic Bitch v13 Skirt,,
Items.FormalSkirt_01_rich_01,"Game.AddToInventory(""Items.FormalSkirt_01_rich_01"",1)",Clothing - Legs,Golden Mean Aramid Stitch Formal Skirt,,
Items.FormalSkirt_01_rich_02,"Game.AddToInventory(""Items.FormalSkirt_01_rich_02"",1)",Clothing - Legs,Mosiac Gleam Skirt With Composite Lining,,
Items.FormalSkirt_01_rich_03,"Game.AddToInventory(""Items.FormalSkirt_01_rich_03"",1)",Clothing - Legs,Arasaka Reactive Layer Office Skirt,,
Items.FormalSkirt_02_basic_01,"Game.AddToInventory(""Items.FormalSkirt_02_basic_01"",1)",Clothing - Legs,Tear Resistant Office Skirt,,
Items.FormalSkirt_02_basic_02,"Game.AddToInventory(""Items.FormalSkirt_02_basic_02"",1)",Clothing - Legs,Burgundy Formal Skirt Reinforced Synfibel,,
Items.FormalSkirt_02_basic_03,"Game.AddToInventory(""Items.FormalSkirt_02_basic_03"",1)",Clothing - Legs,Saeko's Limited Elegant Duoweave Skirt,,
Items.FormalSkirt_02_rich_01,"Game.AddToInventory(""Items.FormalSkirt_02_rich_01"",1)",Clothing - Legs,Heise Trilayer Formal Skirt,,
Items.FormalSkirt_02_rich_02,"Game.AddToInventory(""Items.FormalSkirt_02_rich_02"",1)",Clothing - Legs,Brass Harmony Skirt With Double Nanofiber Weave,,
Items.FormalSkirt_02_rich_03,"Game.AddToInventory(""Items.FormalSkirt_02_rich_03"",1)",Clothing - Legs,Chich Pink Dragon Skirt,,
Items.Fragment,"Game.AddToInventory(""Items.Fragment"",1)",Unused,,,
Items.FuyutsuiCommonMKI,"Game.AddToInventory(""Items.FuyutsuiCommonMKI"",1)",Cyberware - OS: Cyberdeck,Fuyutsui Electronics MK1,,Allows you to preform quickhacks on targets and devices while scanning.
Items.FuyutsuiTinkererLegendaryMKIII,"Game.AddToInventory(""Items.FuyutsuiTinkererLegendaryMKIII"",1)",Cyberware - OS: Cyberdeck,Fuyutsui Tinkerer MK3,Legendary,Allows you to preform quickhacks on targets and devices while scanning. Increases cyberdeck ram recovery rate by 9 unit(s) per 60 sec. Increases combat quickhacks duration by 50%. Increaces quickhacks spread distance by 40%
Items.generic_1000_beats_second_shard,"Game.AddToInventory(""Items.generic_1000_beats_second_shard"",1)",,,,
Items.generic_2020_corebook_shard,"Game.AddToInventory(""Items.generic_2020_corebook_shard"",1)",,,,
Items.generic_4th_corporate_war_shard,"Game.AddToInventory(""Items.generic_4th_corporate_war_shard"",1)",,,,
Items.generic_6th_street_shard,"Game.AddToInventory(""Items.generic_6th_street_shard"",1)",,,,
Items.generic_75_years_cyberware_shard,"Game.AddToInventory(""Items.generic_75_years_cyberware_shard"",1)",,,,
Items.generic_about_death_shard,"Game.AddToInventory(""Items.generic_about_death_shard"",1)",,,,
Items.generic_adventures_havor_radon_shard,"Game.AddToInventory(""Items.generic_adventures_havor_radon_shard"",1)",,,,
Items.generic_advertising_guarding_bots_shard,"Game.AddToInventory(""Items.generic_advertising_guarding_bots_shard"",1)",,,,
Items.generic_airfield_plan,"Game.AddToInventory(""Items.generic_airfield_plan"",1)",,,,
Items.generic_aledcaldos_rebuild_shard,"Game.AddToInventory(""Items.generic_aledcaldos_rebuild_shard"",1)",,,,
Items.generic_all_foods_in_vitro_meat_shard,"Game.AddToInventory(""Items.generic_all_foods_in_vitro_meat_shard"",1)",,,,
Items.generic_all_foods_leaflet_shard,"Game.AddToInventory(""Items.generic_all_foods_leaflet_shard"",1)",,,,
Items.generic_america_blake_shard,"Game.AddToInventory(""Items.generic_america_blake_shard"",1)",,,,
Items.generic_anesthetics_shard,"Game.AddToInventory(""Items.generic_anesthetics_shard"",1)",,,,
Items.generic_animals_shard,"Game.AddToInventory(""Items.generic_animals_shard"",1)",,,,
Items.generic_apple_tree_granchester_shard,"Game.AddToInventory(""Items.generic_apple_tree_granchester_shard"",1)",,,,
Items.generic_arasaka_faction_overview_shard,"Game.AddToInventory(""Items.generic_arasaka_faction_overview_shard"",1)",,,,
Items.generic_arasaka_family_backstory_shard,"Game.AddToInventory(""Items.generic_arasaka_family_backstory_shard"",1)",,,,
Items.generic_arasaka_tower_bombing_shard,"Game.AddToInventory(""Items.generic_arasaka_tower_bombing_shard"",1)",,,,
Items.generic_avian_extermination_act_shard,"Game.AddToInventory(""Items.generic_avian_extermination_act_shard"",1)",,,,
Items.generic_bakeneko,"Game.AddToInventory(""Items.generic_bakeneko"",1)",,,,
Items.generic_bakker_family_fate_shard,"Game.AddToInventory(""Items.generic_bakker_family_fate_shard"",1)",,,,
Items.generic_bell_tolls_hemmingway_shard,"Game.AddToInventory(""Items.generic_bell_tolls_hemmingway_shard"",1)",,,,
Items.generic_belzebub_tales_shard,"Game.AddToInventory(""Items.generic_belzebub_tales_shard"",1)",,,,
Items.generic_bible_shard,"Game.AddToInventory(""Items.generic_bible_shard"",1)",,,,
Items.generic_bloody_bout_review_shard,"Game.AddToInventory(""Items.generic_bloody_bout_review_shard"",1)",,,,
Items.generic_busan_shard,"Game.AddToInventory(""Items.generic_busan_shard"",1)",,,,
Items.generic_bushido_analisis_shard,"Game.AddToInventory(""Items.generic_bushido_analisis_shard"",1)",,,,
Items.generic_california_dusk_night_shard,"Game.AddToInventory(""Items.generic_california_dusk_night_shard"",1)",,,,
Items.generic_cartesian_duelists_shard,"Game.AddToInventory(""Items.generic_cartesian_duelists_shard"",1)",,,,
Items.generic_catcher_rye_shard,"Game.AddToInventory(""Items.generic_catcher_rye_shard"",1)",,,,
Items.generic_cheating_jacket,"Game.AddToInventory(""Items.generic_cheating_jacket"",1)",,,,
Items.generic_chemicals_shard,"Game.AddToInventory(""Items.generic_chemicals_shard"",1)",,,,
Items.generic_chiba_11,"Game.AddToInventory(""Items.generic_chiba_11"",1)",,,,
Items.generic_chronicles_of_titania_shard,"Game.AddToInventory(""Items.generic_chronicles_of_titania_shard"",1)",,,,
Items.generic_church_poland_shard,"Game.AddToInventory(""Items.generic_church_poland_shard"",1)",,,,
Items.generic_club_reviews_shard,"Game.AddToInventory(""Items.generic_club_reviews_shard"",1)",,,,
Items.generic_community_01_shard,"Game.AddToInventory(""Items.generic_community_01_shard"",1)",,,,
Items.generic_community_02_shard,"Game.AddToInventory(""Items.generic_community_02_shard"",1)",,,,
Items.generic_community_03_shard,"Game.AddToInventory(""Items.generic_community_03_shard"",1)",,,,
Items.generic_confessions_of_braindance_addict_shard,"Game.AddToInventory(""Items.generic_confessions_of_braindance_addict_shard"",1)",,,,
Items.generic_coptic_bible_shard,"Game.AddToInventory(""Items.generic_coptic_bible_shard"",1)",,,,
Items.generic_corporate_wars_musical_shard,"Game.AddToInventory(""Items.generic_corporate_wars_musical_shard"",1)",,,,
Items.generic_corsairs_vs_shredder_shard,"Game.AddToInventory(""Items.generic_corsairs_vs_shredder_shard"",1)",,,,
Items.generic_creole_poetry_shard,"Game.AddToInventory(""Items.generic_creole_poetry_shard"",1)",,,,
Items.generic_cyberpsychosis_shard,"Game.AddToInventory(""Items.generic_cyberpsychosis_shard"",1)",,,,
Items.generic_cyberware_side_effects_shard,"Game.AddToInventory(""Items.generic_cyberware_side_effects_shard"",1)",,,,
Items.generic_cyril_alexandria_shard,"Game.AddToInventory(""Items.generic_cyril_alexandria_shard"",1)",,,,
Items.generic_daily_newspaper_shard,"Game.AddToInventory(""Items.generic_daily_newspaper_shard"",1)",,,,
Items.generic_death_loved_shard,"Game.AddToInventory(""Items.generic_death_loved_shard"",1)",,,,
Items.generic_death_poetry_01_shard,"Game.AddToInventory(""Items.generic_death_poetry_01_shard"",1)",,,,
Items.generic_death_poetry_02_shard,"Game.AddToInventory(""Items.generic_death_poetry_02_shard"",1)",,,,
Items.generic_death_poetry_03_shard,"Game.AddToInventory(""Items.generic_death_poetry_03_shard"",1)",,,,
Items.generic_delamain_taxi_services,"Game.AddToInventory(""Items.generic_delamain_taxi_services"",1)",,,,
Items.generic_depression_shard,"Game.AddToInventory(""Items.generic_depression_shard"",1)",,,,
Items.generic_detective_story_shard,"Game.AddToInventory(""Items.generic_detective_story_shard"",1)",,,,
Items.generic_dollhouse_valuablecase,"Game.AddToInventory(""Items.generic_dollhouse_valuablecase"",1)",,,,
Items.generic_dr_paradox_shard,"Game.AddToInventory(""Items.generic_dr_paradox_shard"",1)",,,,
Items.generic_drug_cookbook_shard,"Game.AddToInventory(""Items.generic_drug_cookbook_shard"",1)",,,,
Items.generic_dubai_shard,"Game.AddToInventory(""Items.generic_dubai_shard"",1)",,,,
Items.generic_elcoyote_drinks_shard,"Game.AddToInventory(""Items.generic_elcoyote_drinks_shard"",1)",,,,
Items.generic_enforcer_handbook_shard,"Game.AddToInventory(""Items.generic_enforcer_handbook_shard"",1)",,,,
Items.generic_etemenanki_shard,"Game.AddToInventory(""Items.generic_etemenanki_shard"",1)",,,,
Items.generic_explosives_shard,"Game.AddToInventory(""Items.generic_explosives_shard"",1)",,,,
Items.generic_fanfic_shard,"Game.AddToInventory(""Items.generic_fanfic_shard"",1)",,,,
Items.generic_fanfiction_shard,"Game.AddToInventory(""Items.generic_fanfiction_shard"",1)",,,,
Items.generic_fingers_mask,"Game.AddToInventory(""Items.generic_fingers_mask"",1)",,,,
Items.generic_gangs_shard,"Game.AddToInventory(""Items.generic_gangs_shard"",1)",,,,
Items.generic_gas_station_01,"Game.AddToInventory(""Items.generic_gas_station_01"",1)",,,,
Items.generic_gas_station_02,"Game.AddToInventory(""Items.generic_gas_station_02"",1)",,,,
Items.generic_gas_station_03,"Game.AddToInventory(""Items.generic_gas_station_03"",1)",,,,
Items.generic_gas_station_04,"Game.AddToInventory(""Items.generic_gas_station_04"",1)",,,,
Items.generic_gas_station_05,"Game.AddToInventory(""Items.generic_gas_station_05"",1)",,,,
Items.generic_gas_station_06,"Game.AddToInventory(""Items.generic_gas_station_06"",1)",,,,
Items.generic_ghost_story_shard,"Game.AddToInventory(""Items.generic_ghost_story_shard"",1)",,,,
Items.generic_gnostic_01_shard,"Game.AddToInventory(""Items.generic_gnostic_01_shard"",1)",,,,
Items.generic_gnostic_02_shard,"Game.AddToInventory(""Items.generic_gnostic_02_shard"",1)",,,,
Items.generic_gossip_magazine_shard,"Game.AddToInventory(""Items.generic_gossip_magazine_shard"",1)",,,,
Items.generic_guide_braindances_shard,"Game.AddToInventory(""Items.generic_guide_braindances_shard"",1)",,,,
Items.generic_guide_net_shard,"Game.AddToInventory(""Items.generic_guide_net_shard"",1)",,,,
Items.generic_guide_to_night_city_shard,"Game.AddToInventory(""Items.generic_guide_to_night_city_shard"",1)",,,,
Items.generic_guns_catalog_shard,"Game.AddToInventory(""Items.generic_guns_catalog_shard"",1)",,,,
Items.generic_guseinov_shard,"Game.AddToInventory(""Items.generic_guseinov_shard"",1)",,,,
Items.generic_hanako_flowers_shard,"Game.AddToInventory(""Items.generic_hanako_flowers_shard"",1)",,,,
Items.generic_heart_of_darkness_conrad_shard,"Game.AddToInventory(""Items.generic_heart_of_darkness_conrad_shard"",1)",,,,
Items.generic_history_of_haiti_shard,"Game.AddToInventory(""Items.generic_history_of_haiti_shard"",1)",,,,
Items.generic_illiad_homer_shard,"Game.AddToInventory(""Items.generic_illiad_homer_shard"",1)",,,,
Items.generic_imperyl_shard,"Game.AddToInventory(""Items.generic_imperyl_shard"",1)",,,,
Items.generic_influencing_shard,"Game.AddToInventory(""Items.generic_influencing_shard"",1)",,,,
Items.generic_jinguji_fashion_collection_shard,"Game.AddToInventory(""Items.generic_jinguji_fashion_collection_shard"",1)",,,,
Items.generic_johnny_biography_shard,"Game.AddToInventory(""Items.generic_johnny_biography_shard"",1)",,,,
Items.generic_jsamurai_history_shard,"Game.AddToInventory(""Items.generic_jsamurai_history_shard"",1)",,,,
Items.generic_kerry_and_second_conflict_shard,"Game.AddToInventory(""Items.generic_kerry_and_second_conflict_shard"",1)",,,,
Items.generic_kerry_dzeng_motherfucker_shard,"Game.AddToInventory(""Items.generic_kerry_dzeng_motherfucker_shard"",1)",,,,
Items.generic_kerry_eurodyne_biography_shard,"Game.AddToInventory(""Items.generic_kerry_eurodyne_biography_shard"",1)",,,,
Items.generic_kerry_kavorkin_rich_shard,"Game.AddToInventory(""Items.generic_kerry_kavorkin_rich_shard"",1)",,,,
Items.generic_kerry_negative_review_1_shard,"Game.AddToInventory(""Items.generic_kerry_negative_review_1_shard"",1)",,,,
Items.generic_kerry_negative_review_2_shard,"Game.AddToInventory(""Items.generic_kerry_negative_review_2_shard"",1)",,,,
Items.generic_kerry_negative_review_3_shard,"Game.AddToInventory(""Items.generic_kerry_negative_review_3_shard"",1)",,,,
Items.generic_kibble_and_scop_shard,"Game.AddToInventory(""Items.generic_kibble_and_scop_shard"",1)",,,,
Items.generic_kings_of_acid_review_shard,"Game.AddToInventory(""Items.generic_kings_of_acid_review_shard"",1)",,,,
Items.generic_konpeki_plaza_folder_shard,"Game.AddToInventory(""Items.generic_konpeki_plaza_folder_shard"",1)",,,,
Items.generic_latest_braindances_shard,"Game.AddToInventory(""Items.generic_latest_braindances_shard"",1)",,,,
Items.generic_lifestyle_news_hanako_shard,"Game.AddToInventory(""Items.generic_lifestyle_news_hanako_shard"",1)",,,,
Items.generic_lizzies_firstaid,"Game.AddToInventory(""Items.generic_lizzies_firstaid"",1)",,,,
Items.generic_lizzy_wizzy_rockergirl_shard,"Game.AddToInventory(""Items.generic_lizzy_wizzy_rockergirl_shard"",1)",,,,
Items.generic_long_walk_shard,"Game.AddToInventory(""Items.generic_long_walk_shard"",1)",,,,
Items.generic_lunar_orbital_bases_shard,"Game.AddToInventory(""Items.generic_lunar_orbital_bases_shard"",1)",,,,
Items.generic_maelstrom_shard,"Game.AddToInventory(""Items.generic_maelstrom_shard"",1)",,,,
Items.generic_major_religions_and_cyberware_shard,"Game.AddToInventory(""Items.generic_major_religions_and_cyberware_shard"",1)",,,,
Items.generic_manipulation_shard,"Game.AddToInventory(""Items.generic_manipulation_shard"",1)",,,,
Items.generic_masked_hero_shard,"Game.AddToInventory(""Items.generic_masked_hero_shard"",1)",,,,
Items.generic_max_tac_shard,"Game.AddToInventory(""Items.generic_max_tac_shard"",1)",,,,
Items.generic_max_tac_way_shard,"Game.AddToInventory(""Items.generic_max_tac_way_shard"",1)",,,,
Items.generic_megacorps_shard,"Game.AddToInventory(""Items.generic_megacorps_shard"",1)",,,,
Items.generic_metacorp_shard,"Game.AddToInventory(""Items.generic_metacorp_shard"",1)",,,,
Items.generic_mox_gang_backstory_shard,"Game.AddToInventory(""Items.generic_mox_gang_backstory_shard"",1)",,,,
Items.generic_mystical_elation_shard,"Game.AddToInventory(""Items.generic_mystical_elation_shard"",1)",,,,
Items.generic_ncpd_shard,"Game.AddToInventory(""Items.generic_ncpd_shard"",1)",,,,
Items.generic_netwatch_propaganda_shard,"Game.AddToInventory(""Items.generic_netwatch_propaganda_shard"",1)",,,,
Items.generic_no_life_3_review_shard,"Game.AddToInventory(""Items.generic_no_life_3_review_shard"",1)",,,,
Items.generic_nomad_cookbook,"Game.AddToInventory(""Items.generic_nomad_cookbook"",1)",,,,
Items.generic_nomad_nations_shard,"Game.AddToInventory(""Items.generic_nomad_nations_shard"",1)",,,,
Items.generic_nomad_propaganda_shard,"Game.AddToInventory(""Items.generic_nomad_propaganda_shard"",1)",,,,
Items.generic_nomad_smuggling_shard,"Game.AddToInventory(""Items.generic_nomad_smuggling_shard"",1)",,,,
Items.generic_nomads_101_shard,"Game.AddToInventory(""Items.generic_nomads_101_shard"",1)",,,,
Items.generic_odyssey_homer_shard,"Game.AddToInventory(""Items.generic_odyssey_homer_shard"",1)",,,,
Items.generic_oil_fields_advertising_shard,"Game.AddToInventory(""Items.generic_oil_fields_advertising_shard"",1)",,,,
Items.generic_oil_fields_critic_shard,"Game.AddToInventory(""Items.generic_oil_fields_critic_shard"",1)",,,,
Items.generic_oneil_one_shard,"Game.AddToInventory(""Items.generic_oneil_one_shard"",1)",,,,
Items.generic_oscar_and_lady_in_the_pink_shard,"Game.AddToInventory(""Items.generic_oscar_and_lady_in_the_pink_shard"",1)",,,,
Items.generic_outer_inner_dialogues_shard,"Game.AddToInventory(""Items.generic_outer_inner_dialogues_shard"",1)",,,,
Items.generic_pacifica_shard,"Game.AddToInventory(""Items.generic_pacifica_shard"",1)",,,,
Items.generic_pain_disablers_shard,"Game.AddToInventory(""Items.generic_pain_disablers_shard"",1)",,,,
Items.generic_parallel_lives_plutarch_shard,"Game.AddToInventory(""Items.generic_parallel_lives_plutarch_shard"",1)",,,,
Items.generic_pathfinder_jupiter_shard,"Game.AddToInventory(""Items.generic_pathfinder_jupiter_shard"",1)",,,,
Items.generic_peralez_leaflet_shard,"Game.AddToInventory(""Items.generic_peralez_leaflet_shard"",1)",,,,
Items.generic_protein_farms_shard,"Game.AddToInventory(""Items.generic_protein_farms_shard"",1)",,,,
Items.generic_psyche_shard,"Game.AddToInventory(""Items.generic_psyche_shard"",1)",,,,
Items.generic_q105_braindance_donors,"Game.AddToInventory(""Items.generic_q105_braindance_donors"",1)",,,,
Items.generic_q105_braindance_firstaid,"Game.AddToInventory(""Items.generic_q105_braindance_firstaid"",1)",,,,
Items.generic_q105_braindance_grenade,"Game.AddToInventory(""Items.generic_q105_braindance_grenade"",1)",,,,
Items.generic_q105_braindance_recipe,"Game.AddToInventory(""Items.generic_q105_braindance_recipe"",1)",,,,
Items.generic_q105_braindance_suitcases,"Game.AddToInventory(""Items.generic_q105_braindance_suitcases"",1)",,,,
Items.generic_q110_mall_boss_sentry,"Game.AddToInventory(""Items.generic_q110_mall_boss_sentry"",1)",,,,
Items.generic_q110_mall_sentry,"Game.AddToInventory(""Items.generic_q110_mall_sentry"",1)",,,,
Items.generic_q110_mall_steroids,"Game.AddToInventory(""Items.generic_q110_mall_steroids"",1)",,,,
Items.generic_q112_parade_homeless,"Game.AddToInventory(""Items.generic_q112_parade_homeless"",1)",,,,
Items.generic_q112_parade_maintenance,"Game.AddToInventory(""Items.generic_q112_parade_maintenance"",1)",,,,
Items.generic_q112_transmitter,"Game.AddToInventory(""Items.generic_q112_transmitter"",1)",,,,
Items.generic_q112_warehouse_ammo,"Game.AddToInventory(""Items.generic_q112_warehouse_ammo"",1)",,,,
Items.generic_q112_warehouse_contractor,"Game.AddToInventory(""Items.generic_q112_warehouse_contractor"",1)",,,,
Items.generic_q112_warehouse_guard,"Game.AddToInventory(""Items.generic_q112_warehouse_guard"",1)",,,,
Items.generic_q112_warehouse_roster,"Game.AddToInventory(""Items.generic_q112_warehouse_roster"",1)",,,,
Items.generic_q112_warehouse_storage,"Game.AddToInventory(""Items.generic_q112_warehouse_storage"",1)",,,,
Items.generic_q113_arasaka_hr,"Game.AddToInventory(""Items.generic_q113_arasaka_hr"",1)",,,,
Items.generic_q113_arasaka_lobby,"Game.AddToInventory(""Items.generic_q113_arasaka_lobby"",1)",,,,
Items.generic_q113_arasaka_stash,"Game.AddToInventory(""Items.generic_q113_arasaka_stash"",1)",,,,
Items.generic_q113_arasaka_vip,"Game.AddToInventory(""Items.generic_q113_arasaka_vip"",1)",,,,
Items.generic_q113_estate_burglar,"Game.AddToInventory(""Items.generic_q113_estate_burglar"",1)",,,,
Items.generic_q113_estate_cash_bribe,"Game.AddToInventory(""Items.generic_q113_estate_cash_bribe"",1)",,,,
Items.generic_q113_estate_containers,"Game.AddToInventory(""Items.generic_q113_estate_containers"",1)",,,,
Items.generic_q113_estate_gift,"Game.AddToInventory(""Items.generic_q113_estate_gift"",1)",,,,
Items.generic_q113_estate_lost_valuables,"Game.AddToInventory(""Items.generic_q113_estate_lost_valuables"",1)",,,,
Items.generic_q113_estate_snipers,"Game.AddToInventory(""Items.generic_q113_estate_snipers"",1)",,,,
Items.generic_q114_nomads_buster,"Game.AddToInventory(""Items.generic_q114_nomads_buster"",1)",,,,
Items.generic_q115_afterlife_flirt,"Game.AddToInventory(""Items.generic_q115_afterlife_flirt"",1)",,,,
Items.generic_q115_afterlife_goatfuck,"Game.AddToInventory(""Items.generic_q115_afterlife_goatfuck"",1)",,,,
